Label,sumTrees/Canopy,sumImperviousSurface,sumGrass,sumRivers/Streams,sumLake/Pond,sumCultivatedVegetation,sumBareGround,sumBuilding,sumTreatedPool,sumUnknown,sumBush/Shrub,sumShadow,sumIrrigationDitch
AOI 1,1769,496,835,4,2,0,59,161,14,0,76,284,0
AOI 2,932,377,1039,0,13,281,154,286,0,2,168,448,0
AOI 3,904,732,1505,0,17,3,114,348,8,0,56,13,0
AOI 4,816,993,394,0,20,22,0,1450,5,0,0,0,0
AOI 6,1201,0,674,0,0,0,1642,114,0,0,59,10,0
AOI 8,200,43,2135,19,284,100,773,11,0,0,124,5,6
AOI 9,1463,277,550,10,138,289,21,170,1,0,206,575,0
AOI 10,999,919,321,0,17,0,183,721,34,0,211,295,0
AOI 11,526,974,1060,110,21,0,152,587,9,6,31,224,0
AOI 12,1612,465,826,0,3,0,222,350,2,0,5,215,0
AOI 13,694,772,1128,0,1,100,408,541,8,5,31,12,0
AOI 14,1242,658,133,17,17,588,195,732,35,32,10,41,0
AOI 15,1016,1038,327,0,0,0,1,1212,17,0,0,0,89
AOI 16,1409,17,122,76,0,773,338,356,16,0,18,575,0
AOI 17,497,1325,301,0,0,0,348,790,8,23,332,76,0
AOI 18,1119,334,716,0,120,799,28,290,0,0,138,156,0
AOI 21,431,756,1216,46,0,200,347,556,4,0,65,79,0
AOI 22,1715,752,330,0,0,63,8,643,9,0,0,180,0
AOI 24,135,421,54,403,989,111,248,81,0,0,1258,0,0
AOI 25,2308,2,513,0,7,4,268,213,6,19,75,285,0
AOI 26,1003,164,4,0,0,0,584,1882,0,23,6,34,0
AOI 28,912,1118,163,0,0,13,0,1373,0,0,29,92,0
AOI 29,574,879,1033,0,0,140,300,566,4,0,123,80,1
AOI 30,1089,718,409,40,21,29,133,349,13,5,720,174,0
AOI 31,2600,8,18,0,0,0,96,571,0,0,407,0,0
AOI 32,1464,336,61,57,2,1099,378,193,0,0,106,4,0
AOI 33,539,830,415,0,1,1,1102,533,3,0,239,12,25
AOI 34,837,1340,117,0,12,13,98,1030,0,0,136,117,0
AOI 35,980,961,1064,13,0,1,99,486,2,6,22,66,0
AOI 36,489,876,1314,0,238,7,191,336,4,0,63,177,5
AOI 37,742,93,463,0,219,51,1842,120,3,0,158,9,0
AOI 38,675,1292,239,715,16,39,76,0,5,19,28,596,0
AOI 39,618,1140,461,433,139,0,140,652,18,4,89,6,0
AOI 40,778,203,738,0,283,0,529,139,2,0,1002,26,0
AOI 42,781,805,185,35,381,0,28,1044,0,22,36,383,0
AOI 45,2202,720,459,9,29,0,10,170,0,0,40,61,0
AOI 46,1387,401,40,0,465,441,56,654,15,0,0,241,0
AOI 47,507,1092,0,0,0,411,545,719,30,2,326,68,0
AOI 48,2776,0,29,65,90,0,119,0,0,0,621,0,0
AOI 49,1183,170,1196,0,0,0,195,0,0,12,864,80,0
AOI 51,603,1321,997,108,0,23,74,308,1,14,0,251,0
AOI 52,240,1216,266,379,66,0,246,638,1,1,221,19,407
AOI 53,1844,246,1155,10,79,0,162,125,0,0,79,0,0
AOI 55,1612,494,879,0,0,0,292,305,4,0,12,102,0
AOI 56,560,1069,963,48,5,0,170,725,0,18,4,138,0
AOI 57,1043,924,219,99,200,0,11,991,0,13,1,178,21
AOI 58,1085,837,1192,0,45,0,15,524,2,0,0,0,0
AOI 61,1080,986,281,13,0,0,449,279,3,0,512,97,0
AOI 64,1019,1016,988,0,0,0,57,520,8,1,17,74,0
AOI 65,869,822,1076,0,0,0,234,429,15,4,245,6,0
AOI 69,1329,533,31,0,0,23,761,505,12,1,492,13,0
AOI 71,1363,433,876,0,7,0,57,405,5,6,95,453,0
AOI 73,1525,632,779,0,1,0,24,587,9,0,45,75,23
AOI 74,1436,450,1202,0,0,13,131,437,11,5,9,6,0
AOI 76,505,513,1,83,1594,394,30,438,26,9,6,101,0
AOI 77,1106,564,740,0,33,0,60,658,3,2,81,449,4
AOI 78,46,1054,84,0,11,1429,131,845,37,0,18,45,0
AOI 80,800,262,1700,0,1,158,224,286,6,40,125,98,0
AOI 83,1214,777,255,0,0,23,543,604,20,5,253,6,0
AOI 85,367,1418,1237,0,28,4,44,513,17,0,66,6,0
AOI 87,1881,470,407,0,77,60,18,237,4,2,64,480,0
AOI 89,1467,682,574,0,40,6,51,768,59,0,41,12,0
AOI 92,1246,923,807,0,46,0,56,571,6,0,43,0,2
AOI 93,390,429,423,0,0,129,198,170,7,0,1954,0,0
AOI 95,1268,95,1290,0,59,0,844,72,0,7,65,0,0
AOI 101,620,329,238,0,0,0,1107,186,4,0,932,284,0
AOI 107,1643,326,77,0,0,0,664,624,0,16,342,8,0
AOI 109,464,936,247,1008,0,0,72,817,10,2,121,23,0